value
ACSL3-ETV1
ACTB-GLI1
AGPAT5-MCPH1
AGTRAP-BRAF
AKAP9-BRAF
ARID1A-MAST2
ATIC-ALK
BBS9-PKD1L1
BCR-ABL1
BCR-JAK2
BRD3-NUTM1
BRD4-NUTM1
CBFA2T3-GLIS2
CCDC6-RET
CD74-NRG1
CD74-ROS1
CDH11-USP6
CENPK-KMT2A
CEP89-BRAF
CLCN6-BRAF
COL1A1-PDGFB
COL1A1-USP6
COL1A2-PLAG1
CRTC3-MAML2
DCTN1-ALK
DDX5-ETV4
DHH-RHEBL1
DNAJB1-PRKACA
EIF3E-RSPO2
EIF3K-CYP39A1
EML4-ALK
EPC1-PHF1
ERO1A-FERMT2
ETV6-ABL1
ETV6-ITPR2
ETV6-JAK2
ETV6-NTRK3
ETV6-PDGFRB
ETV6-RUNX1
EZR-ERBB4
EZR-ROS1
FAM131B-BRAF
FBXL18-RNF216
FCHSD1-BRAF
FUS-ATF1
FUS-CREB3L1
FUS-CREB3L2
FUS-DDIT3
FUS-ERG
FUS-FEV
GATM-BRAF
GMDS-PDE8B
GNAI1-BRAF
GOLGA5-RET
GOPC-ROS1
HACL1-RAF1
HAS2-PLAG1
HIP1-ALK
HLA-A
HOOK3-RET
IL6R-ATP8B2
INTS4-GAB2
IRF2BP2-CDX1
JAZF1-PHF1
JAZF1-SUZ12
JPT1-USH1G
KIF5B-ALK
KIF5B-RET
KLK2-ETV1
KLK2-ETV4
KMT2A-ABI1
KMT2A-ABI2
KMT2A-ACTN4
KMT2A-AFDN
KMT2A-AFF1
KMT2A-AFF3
KMT2A-AFF4
KMT2A-ARHGAP26
KMT2A-ARHGEF12
KMT2A-BTBD18
KMT2A-CASP8AP2
KMT2A-CBL
KMT2A-CEP170B
KMT2A-CIP2A
KMT2A-CREBBP
KMT2A-CT45A2
KMT2A-DAB2IP
KMT2A-EEFSEC
KMT2A-ELL
KMT2A-EP300
KMT2A-EPS15
KMT2A-FOXO3
KMT2A-FOXO4
KMT2A-FRYL
KMT2A-GAS7
KMT2A-GMPS
KMT2A-GPHN
KMT2A-KNL1
KMT2A-LASP1
KMT2A-LPP
KMT2A-MAPRE1
KMT2A-MLLT1
KMT2A-MLLT10
KMT2A-MLLT11
KMT2A-MLLT3
KMT2A-MLLT6
KMT2A-MYO1F
KMT2A-NCKIPSD
KMT2A-NRIP3
KMT2A-PDS5A
KMT2A-PICALM
KMT2A-PRRC1
KMT2A-SARNP
KMT2A-SEPT2
KMT2A-SEPT5
KMT2A-SEPT6
KMT2A-SEPT9
KMT2A-SH3GL1
KMT2A-SORBS2
KMT2A-TET1
KMT2A-TOP3A
KMT2A-ZFYVE19
KTN1-RET
LIFR-PLAG1
LMNA-NTRK1
LRIG3-ROS1
LSM14A-BRAF
MBOAT2-PRKCE
MBTD1-CXorf67
MEAF6-PHF1
MKRN1-BRAF
MN1-ETV6
MSN-ALK
MYB-NFIB
MYO5A-ROS1
NAB2-STAT6
NCOA4-RET
NF1-ASIC2
NONO-TFE3
NOTCH1-GABBR2
NTN1-ACLY
NUP107-LGR5
NUP214-ABL1
NUP98-KDM5A
OMD-USP6
PAX3-FOXO1
PAX3-NCOA1
PAX3-NCOA2
PAX5-JAK2
PAX7-FOXO1
PCM1-JAK2
PCM1-RET
PLA2R1-RBMS1
PLXND1-TMCC1
PML-RARA
PRCC-TFE3
QKI-NTRK2
RAF1-DAZL
RANBP2-ALK
RBM14-PACS1
RELCH-RET
RGS22-SYCP1
RNF130-BRAF
RUNX1-RUNX1T1
SDC4-ROS1
SEC16A-NOTCH1
SFPQ-TFE3
SLC22A1-CUTA
SLC26A6-PRKAR2A
SLC34A2-ROS1
SLC3A2-NRG1
SLC45A3-BRAF
SLC45A3-ELK4
SLC45A3-ERG
SLC45A3-ETV1
SLC45A3-ETV5
SND1-BRAF
SQSTM1-ALK
SRGAP3-RAF1
SS18-SSX1
SS18-SSX2
